State,Organization Name,Network Count,Networks Shared With Me,Networks Im Sharing
FL,Florida Department of Law Enforcement (FDLE),1,Florida Department of Law Enforcement (FDLE),Okaloosa County FL SO
FL,Lake County FL SO,1,Lake County FL SO,Okaloosa County FL SO
AL,Madison County AL SO,1,Madison County SO Falcon (AL),
FL,Bay Harbor Island FL PD,1,Bay Harbor Islands FL PD,Okaloosa County FL SO
FL,FL - Belleair PD,3,"Belleair PD (FL),Belleair FL PD (Flex),Belleair PD (FL) (Condor)",Okaloosa County FL SO
FL,Indian River Shores FL PD,1,Indian River Shores FL PD,Okaloosa County FL SO
AL,AL - Autauga County SO,1,Autauga County SO (AL),
TN,Lenoir City TN PD,1,Lenoir City TN PD,
SC,Laurens SC PD,1,Laurens SC PD,
AL,Lauderdale County AL SO,1,Lauderdale County AL SO,
FL,Pasco County FL SO,1,Pasco County FL SO,Okaloosa County FL SO
GA,Harris County GA SO,2,"Harris County GA SO Falcon Flex,Harris County GA SO",
AL,Hueytown AL PD,1,Hueytown AL PD,Okaloosa County FL SO
FL,High Springs FL PD,3,"High Springs FL PD - Redspeed,High Springs FL PD,High Springs FL PD Flex",Okaloosa County FL SO
TN,Tipton County TN SO,1,Tipton County TN SO,
GA,Kennesaw GA PD,1,Kennesaw GA PD,
MS,Gulfport MS PD,1,Gulfport MS PD,Okaloosa County FL SO
GA,Sumter County GA SO,2,"Sumter County GA SO,Sumter County GA School District",
GA,Seminole County GA SO,1,Seminole County GA SO,
FL,FL- Sanford PD,2,"Sanford FL PD,Sanford FL PD - Trailer",
FL,Lady Lake FL PD,2,"Lady Lake FL PD (Flex),Lady Lake FL PD",Okaloosa County FL SO
FL,Jupiter FL PD,1,Jupiter FL PD,Okaloosa County FL SO
FL,University of South Florida FL PD,1,University of South Florida FL PD,Okaloosa County FL SO
FL,Florida Office of Agriculture Law Enforcement,1,Florida Office of Agriculture Law Enforcement,Okaloosa County FL SO
GA,Lawrenceville GA PD,3,"Lawrenceville GA PD (Flex),Lawrenceville GA PD,Lawrenceville GA PD - Raven",
FL,Ocoee FL PD,1,Ocoee FL PD,Okaloosa County FL SO
FL,Orange County FL SO,1,Orange County FL SO,Okaloosa County FL SO
GA,Department of Natural Resources - GA,1,Georgia Department of Natural Resources (Falcon Flex),Okaloosa County FL SO
LA,Slidell LA PD,1,Slidell LA PD,
FL,Longboat Key FL PD,1,Longboat Key FL PD,Okaloosa County FL SO
FL,North Palm Beach FL PD,1,North Palm Beach FL PD,Okaloosa County FL SO
TN,Goodlettsville TN PD,1,Goodlettsville TN PD,
GA,Lavonia GA PD,1,Lavonia GA PD,
AL,Hartselle AL PD,1,Hartselle AL PD,
AR,Saline County AR SO,1,Saline County AR SO,
SC,Darlington County SC SO,1,Darlington County SC SO,Okaloosa County FL SO
SC,Richland County SC SO,1,Richland County SC SO,Okaloosa County FL SO
GA,Hiram GA PD,1,Hiram GA PD,
GA,Heard County GA SO,1,Heard County GA SO,
FL,Brevard County FL SO,1,Brevard County FL SO,Okaloosa County FL SO
FL,Green Cove Springs FL PD,1,Green Cove Springs FL PD,Okaloosa County FL SO
FL,Melbourne FL PD,1,Melbourne FL PD,Okaloosa County FL SO
FL,St. Petersburg FL PD,1,St Petersburg FL PD - NPF LPR Study,Okaloosa County FL SO
FL,Santa Rosa County FL SO,1,Santa Rosa County FL SO,Okaloosa County FL SO
NC,Town of Connelly Springs NC,1,Town of Connelly Springs NC,
FL,Lakeland FL PD,2,"Lakeland FL PD,Lakeland FL PD (Flex)",Okaloosa County FL SO
